developer-agreement,developer-agreement-type,organisation,entry-date,start-date,end-date,planning-application,document-url
1,section-106,local-authority:DAC,2017-12-14,2017-12-14,,4/00545/17/MFA,
2,section-106,local-authority:DAC,2018-03-08,2018-03-08,,4/02062/17/MFA,
3,section-106,local-authority:DAC,2018-08-20,2018-08-20,,4/02394/17/MFA,
4,section-106,local-authority:DAC,2017-08-18,2017-08-18,,4/00064/17/MFA,
5,section-106,local-authority:DAC,2017-10-16,2017-10-16,,4/01630/17/MFA,
