developer-agreement,developer-agreement-type,organisation,entry-date,start-date,end-date,planning-application,document-url
1,section-106,local-authority-eng:MSU,2015-10-12,2015-10-12,,0254/15,
2,section-106,local-authority-eng:MSU,2014-03-10,2014-03-10,,0338/14,
3,section-106,local-authority-eng:MSU,2010-05-25,2010-05-25,,0397/10,
4,section-106,local-authority-eng:MSU,2014-06-25,2014-06-25,,0471/14,
5,section-106,local-authority-eng:MSU,2013-04-30,2013-04-30,,0636/13,
6,section-106,local-authority-eng:MSU,2010-07-13,2010-07-13,,0724/10,
7,section-106,local-authority-eng:MSU,2014-05-09,2014-05-09,,0739/14,
8,section-106,local-authority-eng:MSU,2014-02-25,2014-02-25,,1036/13,
9,section-106,local-authority-eng:MSU,2014-06-17,2014-06-17,,1334/14,
10,section-106,local-authority-eng:MSU,2016-07-06,2016-07-06,,1492/15,
11,section-106,local-authority-eng:MSU,2014-08-11,2014-08-11,,1913/14,
12,section-106,local-authority-eng:MSU,2013-11-19,2013-11-19,,2035/13,
13,section-106,local-authority-eng:MSU,2011-09-28,2011-09-28,,2098/11,
14,section-106,local-authority-eng:MSU,2014-11-17,2014-11-17,,2213/14,
15,section-106,local-authority-eng:MSU,2013-10-15,2013-10-15,,2265/13,
16,section-106,local-authority-eng:MSU,2013-12-12,2013-12-12,,2315/11,
17,section-106,local-authority-eng:MSU,2014-10-07,2014-10-07,,2594/14,
18,section-106,local-authority-eng:MSU,2015-04-02,2015-04-02,,2722/13,
19,section-106,local-authority-eng:MSU,2013-12-03,2013-12-03,,2759/13,
20,section-106,local-authority-eng:MSU,2014-10-22,2014-10-22,,3045/14,
21,section-106,local-authority-eng:MSU,2016-03-23,2016-03-23,,3079/15,
22,section-106,local-authority-eng:MSU,2015-12-11,2015-12-11,,3153/14,
23,section-106,local-authority-eng:MSU,2014-11-12,2014-11-12,,3214/14,
24,section-106,local-authority-eng:MSU,2015-06-12,2015-06-12,,3310/14,
25,section-106,local-authority-eng:MSU,2012-02-28,2012-02-28,,3736/11,
26,section-106,local-authority-eng:MSU,2015-01-13,2015-01-13,,DC/17/04615,
