developer-agreement-transaction,developer-agreement-contribution,amount,entry-date,start-date,end-date
1,1,173435.57,2017-12-12,2017-12-12,
2,2,2407.70,2018-10-09,2018-10-09,
3,3,1562.16,2017-07-04,2017-07-04,
4,4,3817.19,2017-09-06,2017-09-06,
5,5,1500.00,2018-03-08,2018-03-08,
6,6,1500.00,2018-03-08,2018-03-08,
7,7,5813.80,2017-10-13,2017-10-13,
8,8,6001.28,2018-09-27,2018-09-27,
9,9,6017.00,2017-05-23,2017-05-23,
10,10,8604.00,2017-05-16,2017-05-16,
11,11,11327.03,2017-07-11,2017-07-11,
12,12,31549.48,2018-07-02,2018-07-02,
13,13,28160.59,2017-04-28,2017-04-28,
14,14,14287.74,2017-04-28,2017-04-28,
15,15,16007.20,2018-07-02,2018-07-02,
16,16,19390.36,2017-04-28,2017-04-28,
17,17,21723.83,2018-07-02,2018-07-02,
18,18,13918.21,2018-07-02,2018-07-02,
19,19,13213.49,2018-07-02,2018-07-02,
20,20,2151.00,2017-08-04,2017-08-04,
21,21,13463.67,2018-04-20,2018-04-20,
23,23,3967.07,2018-12-03,2018-12-03,
24,24,3066.11,2017-04-18,2017-04-18,
25,25,129401.63,2017-06-13,2017-06-13,
26,26,3833.40,2017-10-20,2017-10-20,
27,27,158378.25,2018-12-05,2018-12-05,
28,28,162267.66,2017-12-15,2017-12-15,
29,29,2265.33,2017-12-29,2017-12-29,
30,30,10704.34,2017-10-04,2017-10-04,
31,31,42516.36,2018-07-06,2018-07-06,
32,32,2978.44,2018-07-06,2018-07-06,
33,33,293398.79,2018-05-10,2018-05-10,
34,34,24119.00,2018-07-12,2018-07-12,
35,35,7660.83,2017-10-30,2017-10-30,
36,36,163913.04,2017-04-11,2017-04-11,
37,37,105072.46,2017-04-11,2017-04-11,
38,38,66195.65,2017-04-11,2017-04-11,
39,39,7637.64,2018-10-19,2018-10-19,
