developer-agreement-contribution,developer-agreement,developer-contribution-purpose,amount,entry-date,start-date,end-date
1,1,open-space,327919.57,2015-10-12,2015-10-12,
2,2,open-space,4558.70,2014-03-10,2014-03-10,
3,3,open-space,2920.16,2010-05-25,2010-05-25,
4,4,open-space,7402.19,2014-06-25,2014-06-25,
5,5,open-space,5828.26,2013-04-30,2013-04-30,
6,5,open-space,5828.26,2013-04-30,2013-04-30,
7,6,green-infrastructure,11627.60,2010-07-13,2010-07-13,
8,6,green-infrastructure,11001.28,2010-07-13,2010-07-13,
9,7,open-space,5885.00,2014-05-09,2014-05-09,
10,8,open-space,17208.00,2014-02-25,2014-02-25,
11,9,open-space,22082.03,2014-06-17,2014-06-17,
12,10,open-space,59515.86,2016-07-06,2016-07-06,
13,10,open-space,56126.97,2016-07-06,2016-07-06,
14,10,other,28476.94,2016-07-06,2016-07-06,
15,10,other,30196.45,2016-07-06,2016-07-06,
16,10,other,38646.99,2016-07-06,2016-07-06,
17,10,other,40980.46,2016-07-06,2016-07-06,
18,10,health,26255.71,2016-07-06,2016-07-06,
19,10,health,25550.99,2016-07-06,2016-07-06,
20,11,open-space,4302.00,2014-08-11,2014-08-11,
21,12,open-space,23463.67,2013-11-19,2013-11-19,
22,13,open-space,7502.36,2011-09-28,2011-09-28,
23,14,open-space,7552.07,2014-11-17,2014-11-17,
24,15,open-space,5934.11,2013-10-15,2013-10-15,
25,16,other,241924.79,2013-12-12,2013-12-12,
26,17,open-space,7418.40,2014-10-07,2014-10-07,
27,18,affordable-housing,293628.25,2015-04-02,2015-04-02,
28,18,open-space,312267.66,2015-04-02,2015-04-02,
29,19,open-space,4416.33,2013-12-03,2013-12-03,
30,20,open-space,20742.34,2014-10-22,2014-10-22,
31,21,open-space,79516.36,2016-03-23,2016-03-23,
32,21,other,5570.44,2016-03-23,2016-03-23,
33,22,other,543398.79,2015-12-11,2015-12-11,
34,22,other,44869.00,2015-12-11,2015-12-11,
35,23,open-space,14830.83,2014-11-12,2014-11-12,
36,24,other,319913.04,2015-06-12,2015-06-12,
37,24,other,205072.46,2015-06-12,2015-06-12,
38,24,health,129195.65,2015-06-12,2015-06-12,
39,25,green-infrastructure,14437.64,2012-02-28,2012-02-28,
40,26,other,8108.00,2015-01-13,2015-01-13,
