organisation	name	category	website	feature	start-date	end-date
company:04031152	National Grid PLC		https://www.nationalgrid.com/		2000-07-11	
development-corporation:1	London Legacy Development Corporation		http://www.queenelizabetholympicpark.co.uk/	statistical-geography:E51000001	2012	
development-corporation:2	Old Oak and Park Royal Development Corporation		https://www.london.gov.uk/about-us/organisations-we-work/old-oak-and-park-royal-development-corporation-opdc	statistical-geography:E51000002	2015	
government-organisation:CO1159	Commercial Court		https://www.gov.uk/courts-tribunals/commercial-court			
government-organisation:CS1028	Civil Service		https://www.gov.uk/government/organisations/civil-service			
government-organisation:D1	Attorney General's Office		https://www.gov.uk/government/organisations/attorney-generals-office			
government-organisation:D2	Cabinet Office		https://www.gov.uk/government/organisations/cabinet-office			
government-organisation:D3	Department for Business, Innovation & Skills		https://www.gov.uk/government/organisations/department-for-business-innovation-skills			2016-07-14
government-organisation:D4	Ministry of Housing, Communities and Local Government		https://www.gov.uk/government/organisations/ministry-of-housing-communities-and-local-government			
government-organisation:D5	Department for Digital, Culture, Media and Sport		https://www.gov.uk/government/organisations/department-for-culture-media-sport			
government-organisation:D6	Department for Education		https://www.gov.uk/government/organisations/department-for-education			
government-organisation:D7	Department for Environment, Food & Rural Affairs		https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs			
government-organisation:D8	Department for International Development		https://www.gov.uk/government/organisations/department-for-international-development			
government-organisation:D9	Department for Transport		https://www.gov.uk/government/organisations/department-for-transport			
government-organisation:D10	Department for Work and Pensions		https://www.gov.uk/government/organisations/department-for-work-pensions			
government-organisation:D11	Department of Energy & Climate Change		https://www.gov.uk/government/organisations/department-of-energy-climate-change			2016-07-14
government-organisation:D12	Department of Health and Social Care		https://www.gov.uk/government/organisations/department-of-health-and-social-care			
government-organisation:D13	Foreign & Commonwealth Office		https://www.gov.uk/government/organisations/foreign-commonwealth-office			
government-organisation:D15	HM Treasury		https://www.gov.uk/government/organisations/hm-treasury			
government-organisation:D16	Home Office		https://www.gov.uk/government/organisations/home-office			
government-organisation:D17	Ministry of Defence		https://www.gov.uk/government/organisations/ministry-of-defence			
government-organisation:D18	Ministry of Justice		https://www.gov.uk/government/organisations/ministry-of-justice			
government-organisation:D19	Northern Ireland Office		https://www.gov.uk/government/organisations/northern-ireland-office			
government-organisation:D20	Office of the Advocate General for Scotland		https://www.gov.uk/government/organisations/office-of-the-advocate-general-for-scotland			
government-organisation:D21	Office of the Leader of the House of Commons		https://www.gov.uk/government/organisations/the-office-of-the-leader-of-the-house-of-commons			
government-organisation:D22	Office of the Leader of the House of Lords		https://www.gov.uk/government/organisations/office-of-the-leader-of-the-house-of-lords			
government-organisation:D23	Office of the Secretary of State for Scotland		https://www.gov.uk/government/organisations/office-of-the-secretary-of-state-for-scotland			
government-organisation:D24	Office of the Secretary of State for Wales		https://www.gov.uk/government/organisations/office-of-the-secretary-of-state-for-wales			
government-organisation:D25	HM Revenue & Customs		https://www.gov.uk/government/organisations/hm-revenue-customs			
government-organisation:D30	Treasury Solicitor’s Department		https://www.gov.uk/government/organisations/treasury-solicitor-s-department			
government-organisation:D38	Ordnance Survey		https://www.gov.uk/government/organisations/ordnance-survey			
government-organisation:D69	HM Land Registry		https://www.gov.uk/government/organisations/land-registry			
government-organisation:D85	Forestry Commission		https://www.gov.uk/government/organisations/forestry-commission			
government-organisation:D98	The Charity Commission		https://www.gov.uk/government/organisations/charity-commission			
government-organisation:D101	Crown Prosecution Service		https://www.gov.uk/government/organisations/crown-prosecution-service			
government-organisation:D102	Food Standards Agency		https://www.gov.uk/government/organisations/food-standards-agency			
government-organisation:D103	Government Actuary's Department		https://www.gov.uk/government/organisations/government-actuarys-department			
government-organisation:D106	Ofsted		https://www.gov.uk/government/organisations/ofsted			
government-organisation:D108	Ofgem		https://www.gov.uk/government/organisations/ofgem			
government-organisation:D109	Ofqual		https://www.gov.uk/government/organisations/ofqual			
government-organisation:D110	Office of Rail Regulation		https://www.gov.uk/government/organisations/office-of-rail-regulation		2004-07-05	2015-10-16
government-organisation:D115	Serious Fraud Office		https://www.gov.uk/government/organisations/serious-fraud-office			
government-organisation:D116	UK Statistics Authority		https://www.gov.uk/government/organisations/uk-statistics-authority			
government-organisation:D117	UK Trade & Investment		https://www.gov.uk/government/organisations/uk-trade-investment			2016-07-13
government-organisation:D240	The Water Services Regulation Authority		https://www.gov.uk/government/organisations/the-water-services-regulation-authority			
government-organisation:D241	UK Export Finance		https://www.gov.uk/government/organisations/uk-export-finance			
government-organisation:D303	Office for National Statistics		https://www.gov.uk/government/organisations/office-for-national-statistics			
government-organisation:D352	Office of Fair Trading		https://www.gov.uk/government/organisations/office-of-fair-trading			2014-04-01
government-organisation:D435	Supreme Court of the United Kingdom		https://www.gov.uk/government/organisations/supreme-court-of-the-united-kingdom			
government-organisation:D550	Competition and Markets Authority		https://www.gov.uk/government/organisations/competition-and-markets-authority			
government-organisation:D582	Scottish Office		https://www.gov.uk/government/organisations/scottish-office			1999
government-organisation:D583	Department for Education and Skills		https://www.gov.uk/government/organisations/department-for-education-and-skills			2007
government-organisation:D584	Department of Social Security		https://www.gov.uk/government/organisations/department-of-social-security			2001
government-organisation:D585	Department of Education (Northern Ireland)		https://www.gov.uk/government/organisations/department-of-education			
government-organisation:D586	Department of Trade and Industry		https://www.gov.uk/government/organisations/department-of-trade-and-industry			
government-organisation:D587	Department for Constitutional Affairs		https://www.gov.uk/government/organisations/department-for-constitutional-affairs			2007-05-09
government-organisation:D591	Department of the Environment (Northern Ireland)		https://www.gov.uk/government/organisations/department-of-the-environment			
government-organisation:D595	Lord Chancellor's Department		https://www.gov.uk/government/organisations/lord-chancellors-department			2003-06-12
government-organisation:D598	Department of Constitutional Affairs		https://www.gov.uk/government/organisations/department-of-constitutional-affairs			2007-05-09
government-organisation:D605	Department of Finance and Personnel for Northern Ireland		https://www.gov.uk/government/organisations/department-of-finance-and-personnel-for-northern-ireland			
government-organisation:D608	Department for Innovation, Universities and Skills		https://www.gov.uk/government/organisations/department-for-innovation-universities-and-skills			2009-06
government-organisation:D609	Department for Children, Schools and Families		https://www.gov.uk/government/organisations/department-for-children-schools-and-families			2010-05-12
government-organisation:D611	Department for Business, Enterprise and Regulatory Reform		https://www.gov.uk/government/organisations/department-for-business-enterprise-and-regulatory-reform			2009-06-05
