developer-agreement-transaction,developer-agreement-contribution,amount,entry-date,start-date,end-date
1,5,47250.00,2018-11-15,2018-11-15,
2,6,13267.40,2018-11-15,2018-11-15,
3,8,45000,2018-11-15,2018-11-15,
