developer-agreement-contribution,developer-agreement,developer-contribution-purpose,amount,entry-date,start-date,end-date
1,1,open-space,10243.17,2007-02-07,2007-02-07,
2,2,open-space,9814.52,2007-09-27,2007-09-27,
3,3,open-space,10961.80,2008-07-02,2008-07-02,
4,4,open-space,4501.16,2008-02-14,2008-02-14,
5,5,open-space,5545.90,2007-11-08,2007-11-08,
6,6,open-space,4061.30,2008-09-17,2008-09-17,
7,7,open-space,19969.29,2010-02-05,2010-02-05,
8,8,open-space,5544.17,2010-03-16,2010-03-16,
9,9,open-space,1058.18,2010-12-14,2010-12-14,
10,9,open-space,1058.18,2010-12-14,2010-12-14,
11,9,open-space,4768.50,2010-12-14,2010-12-14,
12,9,open-space,4768.50,2010-12-14,2010-12-14,
13,10,open-space,9366.70,2011-05-09,2011-05-09,
14,11,open-space,52.78,2011-09-26,2011-09-26,
15,12,open-space,12598.00,2012-12-19,2012-12-19,
16,13,open-space,7654.80,2012-12-19,2012-12-19,
17,14,health,79978.59,2013-08-16,2013-08-16,
18,15,open-space,7537.68,2013-04-19,2013-04-19,
19,16,open-space,7710.36,2013-03-08,2013-03-08,
20,17,open-space,4546.48,2013-03-22,2013-03-22,
21,17,open-space,2401.50,2014-03-06,2014-03-06,
22,18,open-space,6556.36,2013-04-17,2013-04-17,
23,18,open-space,1541.96,2013-11-14,2013-11-14,
24,19,open-space,3136.96,2013-09-25,2013-09-25,
25,20,open-space,2124.00,2013-12-11,2013-12-11,
26,21,open-space,5112.34,2013-12-23,2013-12-23,
27,22,affordable-housing,186400.00,2015-06-02,2015-06-02,
28,23,open-space,4950.94,2014-04-17,2014-04-17,
29,24,open-space,4830.62,2014-02-26,2014-02-26,
30,25,open-space,87350.06,2015-05-27,2015-05-27,
31,25,other,10368.00,2015-05-27,2015-05-27,
32,26,open-space,186.14,2014-05-27,2014-05-27,
33,27,education,32058.06,2015-07-27,2015-07-27,
34,27,open-space,20282.69,2015-07-27,2015-07-27,
35,27,other,33433.98,2015-07-27,2015-07-27,
36,27,other,738.29,2015-07-27,2015-07-27,
37,27,other,30424.03,2015-07-27,2015-07-27,
38,27,other,5881.98,2015-07-27,2015-07-27,
39,27,other,13114.84,2015-07-27,2015-07-27,
40,28,affordable-housing,11848.53,2015-12-04,2015-12-04,
41,29,affordable-housing,16772.06,2015-09-29,2015-09-29,
42,30,affordable-housing,34555.25,2016-01-08,2016-01-08,
43,31,affordable-housing,5293.64,2015-12-23,2015-12-23,
44,32,affordable-housing,109760.87,2016-03-31,2016-03-31,
45,33,affordable-housing,500000.00,2017-05-03,2017-05-03,
46,34,affordable-housing,11212.86,2016-04-27,2016-04-27,
47,35,other,32662.09,2017-10-30,2017-10-30,
