developer-contribution-purpose,name,entry-date,start-date,end-date
1,affordable-housing,2018-12-04,2018-12-04,
2,affordable-housing,2018-12-04,2018-12-04,
3,education,2018-12-04,2018-12-04,
4,health,2018-12-04,2018-12-04,
5,highways,2018-12-04,2018-12-04,
5,transport,2018-12-04,2018-12-04,
6,open-space,2018-12-04,2018-12-04,
7,community-facilities,2018-12-04,2018-12-04,
8,green-infrastructure,2018-12-04,2018-12-04,
9,other,2018-12-04,2018-12-04,
10,community-infrastructure-levy,2018-12-04,2018-12-04,
