developer-contribution-purpose,name,entry-date,start-date,end-date
purpose-001,affordable-housing,2018-12-04,2018-12-04,
purpose-002,education,2018-12-04,2018-12-04,
purpose-003,health,2018-12-04,2018-12-04,
purpose-004,highways,2018-12-04,2018-12-04,
purpose-005,transport,2018-12-04,2018-12-04,
purpose-006,open-space,2018-12-04,2018-12-04,
purpose-007,community-facilities,2018-12-04,2018-12-04,
purpose-008,green-infrastructure,2018-12-04,2018-12-04,
purpose-009,other,2018-12-04,2018-12-04,
purpose-010,community-infrastructure-levy,2018-12-04,2018-12-04,
