developer-agreement,developer-agreement-type,organisation,entry-date,start-date,end-date,planning-application,document-url
developer-agreement-001,agreement-type-001,local-authority:BCH,2017-14-12,2017-14-12,,4/00545/17/MFA,
developer-agreement-002,agreement-type-001,local-authority:BCH,2018-03-08,2018-03-08,,4/02062/17/MFA,
developer-agreement-003,agreement-type-001,local-authority:BCH,2018-08-20,2018-08-20,,4/02394/17/MFA,
developer-agreement-004,agreement-type-001,local-authority:BCH,2017-08-18,2017-08-18,,4/00064/17/MFA,
developer-agreement-005,agreement-type-001,local-authority:BCH,2017-10-16,2017-10-16,,4/01630/17/MFA,



