developer-agreement-contribution,developer-agreement,contribution-purpose,amount,entry-date,start-date,end-date
developer-agreement-contribution-001,developer-agreement-001,affordable-housing,167000.00,2017-12-14,2017-12-14,
developer-agreement-contribution-002,developer-agreement-002,affordable-housing,276317.00,2018-03-08,2018-03-08,
developer-agreement-contribution-003,developer-agreement-003,affordable-housing,32500.00,2018-08-20,2018-08-20,
developer-agreement-contribution-004,developer-agreement-003,affordable-housing,32500.00,2018-08-20,2018-08-20,
developer-agreement-contribution-005,developer-agreement-004,mayland-public-realm,47250.00,2017-08-18,2017-08-18,
developer-agreement-contribution-006,developer-agreement-004,mayland-public-realm,13267.40,2017-08-18,2017-08-18,
developer-agreement-contribution-007,developer-agreement-004,public-transport,16000.00,2017-08-18,2017-08-18,
developer-agreement-contribution-008,developer-agreement-004,ecology,45000.00,2017-08-18,2017-08-18,
developer-agreement-contribution-009,developer-agreement-004,highways,6000.00,2017-08-18,2017-08-18,
developer-agreement-contribution-010,developer-agreement-005,highways,6000.00,2017-10-16,2017-10-16,




