brownfield-site-publication	organisation	documentation-url	data-url	data-gov-uk	start-date	end-date
1	local-authority-eng:ADU		https://www.adur-worthing.gov.uk/media/media,146509,en.xlsx			
2	local-authority-eng:ALL	https://www.allerdale.gov.uk/en/planning-building-control/planning-policy/brownfield-register/	https://www-cloudfront.allerdale.gov.uk/media/filer_public/e2/4f/e24f8151-3b1c-421d-9909-0a6f29bfe831/allerdale_brownfieldregister_2017-12-20_1.csv	36bcc3d7-9972-4964-8afc-7d1e67229995		
3	local-authority-eng:AMB		http://info.ambervalley.gov.uk/shareddatasets/brownfieldlandregister/ambervalley_brownfieldregister_2017-12-31_rev1.csv	36bcc3d7-9972-4964-8afc-7d1e67229995		
4	local-authority-eng:ARU		https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n11541.xlsm&ver=11522	f8f03343-1b72-46f4-937d-d9be84a71e62		
5	local-authority-eng:ASF		https://www.ashford.gov.uk/media/5782/ashford_borough_council_brownfield_register-26-02-18.csv	2b734ed1-0007-4606-a1c4-13a495cb1991		
6	local-authority-eng:ASH		https://www.ashfield.gov.uk/media/3811/ashfield-bflr.csv	2b734ed1-0007-4606-a1c4-13a495cb1991		
7	local-authority-eng:AYL		https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/aylesbury_vale_brownfield_register_2017-12-19_rev1%20%282%29.csv			
8	local-authority-eng:BAB		http://www.babergh.gov.uk/assets/Planning-Policy/BMSDC-BrownfieldRegister-2017-12-21.csv			
9	local-authority-eng:BAE		http://data.bassetlaw.gov.uk/media/751005/BrownfieldLandRegister2017.csv	75054751-2707-454e-83db-acaaff4209f6/		
10	local-authority-eng:BAI	http://www.basildon.gov.uk/blr	http://www.basildon.gov.uk/CHttpHandler.ashx?id=7800&p=0			
11	local-authority-eng:BAN		https://www.basingstoke.gov.uk/content/page/55024/Brownfield%20Land%20Register.csv			
12	local-authority-eng:BAR		https://data.barrowbc.gov.uk/dataset/3f587e30-a91e-4d0e-9525-a660706df8c0/resource/af1eb832-575e-46a0-a615-666daa5ab196/download/barrow-in-furnessbrownfieldregister2017-12-20rev1.csv			
13	local-authority-eng:BAS		http://www.bathnes.gov.uk/sites/default/files/sitedocuments/Planning-and-Building-Control/Planning-Policy/bathandnortheastsomerset_brownfieldregister_2017-12-31_rev1.csv			
14	local-authority-eng:BBD	http://www.blackburn.gov.uk/Pages/Brownfield-register.aspx	http://www.blackburn.gov.uk/Brownfield/blackburnwithdarwen_brownfieldregister_2017-12-20_rev1.csv			
15	local-authority-eng:BDF		https://www.bedford.gov.uk/environment_and_planning/planning_town_and_country/planning_policy__its_purpose/idoc.ashx?docid=a72bd551-72ae-4c1f-ab27-eee73f3c52ae&version=-1			
16	local-authority-eng:BDG	https://data.london.gov.uk/dataset/brownfield-land-register				
17	local-authority-eng:BEN		https://www.brent.gov.uk/media/16409507/brent_brownfieldregister_2017-12-20_rev1.csv			
18	local-authority-eng:BEX		http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/bexley_brownfieldregister_2017-12-07_rev1_0.csv			
19	local-authority-eng:BIR		https://www.birmingham.gov.uk/download/downloads/id/9037/brownfield_register.csv			
20	local-authority-eng:BLA		http://www.blaby.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=14453			
21	local-authority-eng:BMH		https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/bournemouth-brownfieldregister-2017-12-31-rev1.csv.csv			
22	local-authority-eng:BNE		https://files.datapress.com/barnet/dataset/brownfield-land-register/2017-12-19T09:58:04.45/Brownfield%20Land%20Register%20-%20Barnet.csv			
23	local-authority-eng:BNH		https://www.brighton-hove.gov.uk/sites/brighton-hove.gov.uk/files/Brighton%26Hove_City_Council_Brownfield_Land_Register_1912017_Post%20Consult_0.csv			
24	local-authority-eng:BNS		https://www.barnsley.gov.uk/media/7342/brownfield-register-2017-08-11.csv			
25	local-authority-eng:BOL		http://www.bolton.gov.uk/sites/DocumentCentre/Documents/bolton_brownfieldregister_2017-12-19_rev1.csv.csv			
26	local-authority-eng:BOS		http://www.bolsover.gov.uk/images/LIVE/B/bolsover_brownfield_register_2017_10_31.csv			
27	local-authority-eng:BOT		http://www.boston.gov.uk/CHttpHandler.ashx?id=22192&p=0			
28	local-authority-eng:BPL		https://www.blackpool.gov.uk/Residents/Planning-environment-and-community/Documents/Brownfield-Register-CSV-24KB.csv			
29	local-authority-eng:BRA		https://www.braintree.gov.uk/download/downloads/id/7439/bdc_brownfield_land_register_2017.csv			
30	local-authority-eng:BRC		https://files.bracknell-forest.gov.uk/sites/bracknell/documents/brownfield-register-%202017.csv			
