development-corporation	name	website	area	start-date	end-date
1	London Legacy Development Corporation	http://www.queenelizabetholympicpark.co.uk/	statistical-geography:E51000001	2012	
2	Old Oak and Park Royal Development Corporation	https://www.london.gov.uk/about-us/organisations-we-work/old-oak-and-park-royal-development-corporation-opdc	statistical-geography:E51000002	2015	
